Date,Open,High,Low,Close,Volume
2021-08-25,1852.8699679850029,1894.5170452470509,1852.8699679850029,1875.0958251953125,6378
2021-08-26,1884.4879737135911,1887.717789009384,1869.019098618476,1870.3365478515625,1940
2021-08-27,1879.72829873571,1882.6180131353688,1861.3695028291008,1870.8887939453125,3501
2021-08-30,1902.974294152231,1902.974294152231,1870.889039380615,1876.838623046875,11393
2021-08-31,1873.3537703982129,1886.357692873496,1866.5542470103587,1879.6007080078125,60639
2021-09-01,1899.574376231519,1953.588133586072,1888.737635442647,1935.1019287109373,36298
2021-09-02,1950.613210733604,1953.1630319241056,1920.8652968444203,1929.067138671875,12439
2021-09-03,1938.7143479552765,1946.3638127214303,1912.366191538524,1916.2760009765625,8926
2021-09-06,1929.3648409329064,1933.61454322571,1897.7045588515184,1901.4442138671875,12379
2021-09-07,1897.15197857824,1924.5625554486007,1895.367020803297,1907.6060791015625,14401
2021-09-08,1903.8667252590988,1907.606380467427,1878.411048714783,1891.16015625,19575
2021-09-09,1875.0110252186169,1899.5742193089127,1859.66955978974,1866.3416748046875,15586
2021-09-13,1875.6911686492308,1890.1824873452767,1854.5700654245927,1873.6937255859373,8643
2021-09-14,1873.6938276199403,1873.6938276199403,1862.7720092199272,1869.571533203125,17924
2021-09-15,1869.57144768895,1885.1679381140284,1865.619307556489,1880.0257568359373,48425
2021-09-16,1910.666247872245,1910.666247872245,1863.154656827958,1868.296630859375,33535
2021-09-17,1876.6683518699067,1897.0669209119708,1866.4690673488744,1879.3455810546875,22061
2021-09-20,1879.2184177796769,1890.6926143604207,1862.219608030426,1870.4639892578125,6511
2021-09-21,1866.4692412097384,1894.51727625524,1851.9777149352303,1885.677978515625,12887
2021-09-22,1891.075028899336,1891.075028899336,1865.619353032085,1871.4415283203125,4874
2021-09-23,1880.068559848446,1884.785771560644,1856.312762177768,1869.31689453125,6705
2021-09-24,1886.0178307109552,1902.1666990225856,1868.169081524416,1875.861083984375,11463
2021-09-27,1885.59321223236,1892.8602458291905,1873.2265350595128,1885.93310546875,7849
2021-09-28,1896.2171417780544,1896.2171417780544,1860.6047199658424,1864.726806640625,5095
2021-09-29,1869.868844281788,1933.104325831872,1862.0494342521497,1919.42041015625,39119
2021-09-30,1933.6147404778908,1952.313432473721,1903.8668213936155,1941.561767578125,19879
2021-10-01,1941.5614575908776,1941.5614575908776,1904.0364640056112,1912.068359375,6934
2021-10-04,1940.3712482845733,1940.3712482845733,1908.116054039115,1914.57568359375,5816
2021-10-05,1903.0167915900647,1930.2148877628576,1899.2345978420376,1926.1351318359373,7088
2021-10-06,1943.8138238366453,1943.8138238366453,1902.2092799957973,1909.3912353515625,6603
2021-10-07,1919.165561445413,1927.6224275336,1892.0100052102823,1901.529296875,6791
2021-10-08,1910.666374736688,1925.115364225355,1899.6171474806483,1903.0594482421875,4668
2021-10-11,1924.1803211606189,1924.1803211606189,1891.117716887601,1893.625,6762
2021-10-12,1899.6169269889776,1912.3660338815207,1884.742968947677,1898.511962890625,31377
2021-10-13,1913.2160981651928,1921.715503310308,1895.3673473604536,1908.116455078125,7654
2021-10-14,1910.6661997421363,1917.253238464557,1879.21840197058,1887.84521484375,16475
2021-10-18,1911.5158420327607,1914.91560342366,1865.6190632556293,1885.040283203125,58935
2021-10-19,1895.3671986777888,1895.3671986777888,1872.588753174744,1874.9686279296875,6264
2021-10-20,1874.118616947892,1885.2952504143173,1856.8222464833632,1868.0416259765625,6724
2021-10-21,1869.954006993376,1876.413429702936,1840.121015154466,1848.577880859375,7991
2021-10-22,1851.637726451993,1867.44649361552,1825.6720053589504,1836.9337158203125,6317
2021-10-25,1818.9576285019589,1844.0308716178167,1780.62523144826,1791.41943359375,15976
2021-10-26,1835.02132183904,1835.02132183904,1772.1257322993974,1779.435302734375,13201
2021-10-27,1801.788667109762,1828.1368209158209,1794.2242801480834,1801.0238037109375,9074
2021-10-28,1823.972222228589,1823.972222228589,1802.7237107860385,1810.458251953125,4590
2021-10-29,1827.3720536423773,1827.3720536423773,1780.6253266887352,1785.639892578125,11935
2021-11-01,1812.072943951081,1812.922884356312,1760.2265792320304,1766.55859375,10598
2021-11-02,1767.876059560436,1806.123378156696,1767.876059560436,1797.9638671875,5086
2021-11-03,1801.5764366611488,1806.9736422540848,1772.1260790685642,1776.035888671875,10836
2021-11-04,1793.3317063778184,1954.8629209797737,1784.8748408945758,1806.8033447265625,4856
2021-11-08,1851.1703247022049,1851.1703247022049,1779.0953320833237,1787.0423583984375,16461
2021-11-09,1796.0094122375535,1810.3733241549,1780.6254056828711,1795.6693115234375,6902
2021-11-10,1797.6664113393044,1818.872381955029,1786.9570797332813,1809.3956298828125,5557
2021-11-11,1804.8483576474905,1810.3729699972475,1777.3103729368447,1807.0157470703125,5393
2021-11-12,1827.286897385757,1827.286897385757,1776.3755472395956,1798.4739990234375,20020
2021-11-15,1776.375531009176,1817.470234549112,1776.375531009176,1792.1419677734375,2780
2021-11-16,1794.2240055424586,1803.6584260439788,1790.3992741237275,1795.88134765625,3550
2021-11-17,1812.922794500992,1876.668321733797,1798.473808328222,1858.7344970703125,41407
2021-11-18,1883.170320548004,1888.5675249647225,1848.6203270919311,1872.8436279296875,27485
